RANK,Player,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,FG%,"TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPG,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Alen Smailagic,Gol,F,19.47,9,10.3,21.4,17.7,13,10,0.8,20,0.7,9,0.222,0.586,0.629,4.7,2.4,12.7,0.9,14,0.11,0.33,0.56,8.4,120.1,105.8
,Marcus Smart,Bos,G,25.92,39,31.5,65.6,18.3,11.4,83,0.831,177,0.418,253,0.352,0.483,0.519,12.4,3.6,6.2,4.8,21,1.51,0.49,1.54,7.6,110.7,102.4
,Dennis Smith Jr.,Nyk,G,22.2,26,16,33.4,22.4,18.6,44,0.477,114,0.36,46,0.304,0.388,0.404,5.6,2.2,7.1,2.9,26.3,0.62,0.27,1.58,8.2,85.8,104
,Ish Smith,Was,G,31.59,49,26.2,54.6,18.7,11,64,0.672,363,0.496,125,0.352,0.504,0.518,10.9,3,6.3,4.6,24.9,0.84,0.37,1.31,8.1,109.4,116
,Zhaire Smith,Phi,G,20.67,5,5.8,12.1,19,7.8,4,0.5,7,0.286,3,0,0.2,0.255,1.2,0.4,3.8,0.4,8.9,0.6,0,0.2,4,60.4,96.9
,Tony Snell,Det,G,28.24,46,26.9,56.1,11.4,6.5,21,1,93,0.516,202,0.411,0.585,0.601,8,1.8,3.8,1.7,8.6,0.48,0.24,0.46,4.3,120.5,112
,Omari Spellman,Gol,F,22.55,49,18.1,37.7,18.7,13.6,92,0.793,185,0.454,110,0.391,0.503,0.551,7.6,4.4,13.1,1,8.2,0.67,0.49,1.08,7.1,106.6,108.3
,Max Strus,Chi,G-F,23.86,2,3.1,6.5,23.7,0,1,1,2,1,1,0,0.667,0.727,2.5,0.5,8.8,0,0,0,0,0,0,,
,Edmond Sumner,Ind,G,24.1,19,13.7,28.5,16.9,14,13,0.615,54,0.5,26,0.308,0.488,0.502,4.5,1.4,5.5,1.5,14.6,0.63,0.32,0.74,6.2,99.9,102.2
,Caleb Swanigan,Sac,F,22.8,7,3.3,6.8,20.8,55.1,2,0.5,4,0.5,0,0,0.5,0.512,0.7,1,17.3,0.3,11.9,0.14,0.29,0.86,7.2,,
,Jayson Tatum,Bos,F-G,21.93,46,33.7,70.3,28,9.2,190,0.842,534,0.472,307,0.375,0.505,0.546,21.9,6.8,10.9,2.9,13.8,1.41,0.85,2.04,9,108.5,102.4
,Jeff Teague,Min,G,31.66,34,27.8,57.9,20.3,16.4,144,0.868,238,0.471,87,0.379,0.497,0.577,13.2,2.6,4.9,6.1,33.2,0.74,0.38,2.24,8.5,115.6,109.4
,Garrett Temple,Bro,G-F,33.75,45,28.4,59.1,16.7,10.2,60,0.75,148,0.48,284,0.324,0.484,0.505,10.3,3.4,6.1,2.4,12.2,0.82,0.44,1.16,6.2,102.7,106.2
,Daniel Theis,Bos,F,27.84,45,22.6,47.1,14.2,11,67,0.701,211,0.616,60,0.317,0.585,0.606,8.1,6.1,14.5,1.6,9.8,0.67,1.4,0.82,7.6,124.4,93.2
,Isaiah Thomas,Was,G,31,40,23.1,48.2,24,14.2,76,0.816,237,0.405,189,0.413,0.5,0.531,12.2,1.7,4,3.7,22.7,0.33,0.15,1.9,7.4,103.2,115.1
,Khyri Thomas,Det,G,23.75,2,2.8,5.8,6.8,0,2,0.5,0,0,0,0,,0.568,0.5,0,0,0,0,0,0,0,0,,
,Matt Thomas,Tor,G,25.51,21,10.6,22.1,15.4,10,7,0.714,19,0.526,50,0.46,0.645,0.652,4.5,1.2,6.1,0.6,7.8,0.19,0,0.38,5.6,119.2,103.1
,Tristan Thompson,Cle,C-F,28.9,48,31,64.5,18,15,138,0.638,462,0.513,9,0.333,0.513,0.537,11.9,10.4,18.6,2.1,10.1,0.63,0.92,1.96,8.2,109.5,109.5
,Matisse Thybulle,Phi,G-F,22.93,43,20.1,41.8,11.9,16.5,36,0.639,65,0.431,117,0.376,0.516,0.533,4.9,1.6,4.3,1.2,8.1,1.47,0.81,0.91,4.2,100.5,97.8
,Anthony Tolliver,Por,F,34.68,33,16.8,35,11.2,14.3,19,0.684,28,0.464,89,0.337,0.496,0.515,3.9,3.3,10.2,0.9,6.7,0.24,0.27,0.64,5.4,105.4,107.4
,Karl-Anthony Towns,Min,C-F,24.23,33,33.8,70.5,29.3,12.9,210,0.805,330,0.588,266,0.406,0.597,0.64,26.7,10.8,16.7,4.2,22.5,0.94,1.21,3.09,12.6,120,102.2
,Gary Trent Jr.,Por,G-F,21.05,38,16.5,34.5,14.9,5,16,0.875,76,0.434,127,0.394,0.532,0.548,6.1,1.5,4.6,0.8,7,0.53,0.24,0.29,4.7,114.5,112
,Allonzo Trier,Nyk,G,24.05,20,12.3,25.6,21.2,17.1,39,0.795,39,0.564,46,0.326,0.524,0.587,6,1.4,5.8,1.2,14.7,0.1,0.2,1.05,7,107.4,108.7
,P.J. Tucker,Hou,F,34.76,50,35.2,73.4,8.8,14.8,42,0.833,101,0.584,202,0.361,0.556,0.579,7.4,7.2,10.5,1.7,6,1.22,0.44,1.12,5.1,115.3,102.9
,Rayjon Tucker,Uta,G,22.37,12,6.2,12.8,14.3,12.4,5,0.6,13,0.615,6,0,0.421,0.448,1.6,0.9,8.1,0.2,3.7,0.08,0,0.25,4.3,88.2,102
,Evan Turner,Atl,G-F,31.28,19,13.2,27.6,16.3,26.2,14,0.857,62,0.403,5,0,0.373,0.424,3.3,2,8.1,2,20.7,0.47,0.42,1.37,7.2,83.2,110.3
,Myles Turner,Ind,C-F,23.87,41,29,60.5,17.9,10.8,111,0.748,211,0.54,171,0.345,0.53,0.566,11.9,6,11.5,1.1,5.4,0.73,1.93,1.27,5.9,108.2,102.1
,Jonas Valanciunas,Mem,C,27.75,48,25.9,53.9,22.2,13.4,116,0.733,449,0.621,71,0.38,0.614,0.634,15.1,10.3,21.2,1.9,11.5,0.46,1.1,1.83,10.3,118.5,101.4
,Denzel Valentine,Chi,G,26.22,30,12.2,25.4,21.8,10.7,5,1,63,0.476,101,0.356,0.512,0.52,5.8,1.9,8.5,1.1,14.9,0.67,0.17,0.67,7.5,100.2,100.1
,Jarred Vanderbilt,Den,F,20.84,9,4.6,9.6,14.6,50,0,0,7,0.714,0,0,0.714,0.714,1.1,0.9,10.6,0.2,6.6,0.33,0.11,0.78,5.1,75.7,94.2
,Fred VanVleet,Tor,G,25.95,41,35.9,74.8,21.9,11.8,151,0.828,316,0.418,280,0.396,0.501,0.545,17.6,3.9,5.7,7,28.7,1.88,0.32,2.17,8.7,112.9,102.8
,Gabe Vincent,Mia,G,23.64,2,9.3,19.4,28.5,0,0,0,2,0,10,0.3,0.375,0.375,4.5,0.5,3,0.5,8.2,0.5,0,0,4.5,81.9,107
,Noah Vonleh,Min,F,24.45,29,12,25,13.8,15.5,28,0.821,72,0.625,14,0.143,0.558,0.605,4.1,4,17.5,0.9,11,0.38,0.21,0.62,8.2,119.5,101.8
,Nikola Vucevic,Orl,C,29.29,40,31.8,66.3,26.2,7.4,108,0.787,471,0.49,191,0.346,0.498,0.525,18.6,10.8,18,3.5,19.6,0.88,0.85,1.43,11.2,110.2,100.4
,Dean Wade,Cle,F-C,23.21,9,5.6,11.6,11.4,22.3,1,0,7,0.714,3,0.667,0.8,0.766,1.8,1.7,16.6,0.1,2.9,0.22,0.33,0.33,4.8,114.2,99.6
,Moritz Wagner,Was,F-C,22.78,22,20.1,41.8,21.4,19.3,43,0.837,109,0.688,56,0.393,0.655,0.685,11.5,5.9,15.9,1.3,9.6,0.68,0.59,2,8.9,115,98.4
,Dion Waiters,Mia,G,28.16,3,14,29.2,30.9,10.2,1,0,9,0.222,17,0.471,0.538,0.53,9.3,3.7,14.6,1,12.4,0,0.67,1,9.3,94.2,97.6
,Lonnie Walker IV,San,G-F,21.15,42,13.1,27.3,20.1,9.4,46,0.717,155,0.452,57,0.421,0.5,0.527,5.8,2,8.1,0.7,7.5,0.43,0.17,0.57,6.1,102.4,106.5
,Kemba Walker,Bos,G,29.75,42,32.1,66.8,27.9,10.3,185,0.865,338,0.494,371,0.388,0.54,0.586,22,4,6.7,5,25,1.05,0.6,2.17,9.5,117.4,106.3
,Tyrone Wallace,Atl,G,25.66,14,11.5,23.9,15.9,16.3,17,0.647,29,0.448,15,0.067,0.33,0.389,2.9,1.6,7.4,0.9,10.9,0.5,0.07,0.71,5.6,79.6,105.7
,Derrick Walton Jr.,Lac,G,24.85,23,9.6,20.1,8.2,9.1,9,0.778,15,0.533,21,0.429,0.597,0.626,2.2,0.7,3.5,1,12.6,0.17,0,0.17,4.8,132.3,104.8
,Brad Wanamaker,Bos,G,30.54,49,18.7,38.9,16,16,90,0.911,177,0.452,72,0.361,0.478,0.554,6.5,2,5.7,2.7,19.1,0.69,0.22,1.12,7,111.4,101
,T.J. Warren,Ind,F,26.42,49,32.2,67,22.7,7.4,153,0.817,536,0.554,148,0.378,0.557,0.59,18.1,3.7,6.3,1.4,6.7,1.14,0.45,1.22,5.6,113.3,104.8
,P.J. Washington,Cha,F,21.46,44,30,62.4,17.9,13,107,0.664,274,0.518,148,0.399,0.546,0.567,12.1,5.4,9.8,2.1,11.1,0.91,0.84,1.59,6.9,106.3,106.1
,Yuta Watanabe,Mem,G-F,25.32,7,3.9,8.1,12.2,12.7,2,0,4,0.5,2,0.5,0.583,0.509,1,0.9,11.8,0,0,0,0.14,0.14,0,,
,Tremont Waters,Bos,G,22.07,8,8.9,18.5,22.6,21.3,6,1,12,0.667,15,0.133,0.407,0.472,3.5,0.9,5.3,1.3,19.5,0.63,0.25,1,7.2,88.1,94
,Paul Watson,Atl,G,25.1,2,8.8,18.2,16.6,0,0,0,4,0,3,0,0,0,0,1,6.2,1.5,20.7,0.5,0,0,0,26.9,111.6
,Russell Westbrook,Hou,G,31.23,42,35.9,74.9,33.6,14.7,273,0.791,762,0.504,175,0.234,0.475,0.524,26.4,8,11.5,7.4,35.6,1.67,0.36,4.33,12.9,105.8,101.5
,Coby White,Chi,G,19.97,52,23.9,49.9,23.2,11.2,85,0.729,291,0.402,272,0.346,0.458,0.481,11.1,3.4,7.7,2.2,14.4,0.71,0.08,1.46,7.3,95,107.2
,Derrick White,San,G,25.6,48,23.8,49.6,17.5,12.3,118,0.822,232,0.509,123,0.366,0.523,0.575,9.8,3.1,7,3.3,19.1,0.58,0.83,1.19,7.8,115.4,107.7
,Hassan Whiteside,Por,C,30.65,47,30.6,63.7,19.7,13.3,173,0.728,500,0.61,4,0.5,0.611,0.64,15.8,13.9,23.4,1.1,5.8,0.38,3.09,1.89,8.1,123.4,101.7
,Andrew Wiggins,Min,F,24.95,42,34.7,72.2,28,10.7,207,0.72,515,0.505,275,0.331,0.502,0.535,22.4,5.2,7.9,3.7,18.5,0.69,0.86,2.52,8.7,104.6,109.2
,Robert Williams III,Bos,C-F,22.31,19,14.1,29.5,11.3,22.5,14,0.571,49,0.673,0,0,0.673,0.671,3.9,4.6,17.5,1.1,10.6,0.95,1.11,0.84,7.7,120.7,91.5
,Nigel Williams-Goss,Uta,G,25.39,9,3.1,6.4,15.7,20.2,2,1,5,0.2,2,0,0.143,0.254,0.4,0.6,9.8,0.6,22.7,0.11,0.11,0.22,6.8,,
,Grant Williams,Bos,F,21.18,48,15.5,32.2,12.4,18.5,45,0.689,89,0.551,67,0.254,0.478,0.512,3.8,2.7,9.5,1.1,8.9,0.42,0.56,0.83,5.8,103.4,95
,Johnathan Williams,Was,F,24.71,10,13.5,28,9.6,12.8,5,0.6,23,0.696,2,0,0.64,0.643,3.5,4.3,17.4,0.6,5.8,0.1,0.6,0.4,6.2,131.2,111.5
,Kenrich Williams,Nor,G-F,25.18,35,22.3,46.4,9.2,12,24,0.375,47,0.511,96,0.26,0.43,0.43,3.8,5.1,12.1,1.5,8.5,0.71,0.6,0.6,5.5,102.1,104.6
,Lou Williams,Lac,G,33.28,48,29.8,62.1,28.8,14.3,279,0.871,483,0.441,248,0.351,0.47,0.545,19.4,3,5.2,6,30.7,0.6,0.17,2.98,9.5,108.8,107.9
,Marvin Williams,Cha,F,33.63,41,19.7,41,13.9,9.7,50,0.86,93,0.538,117,0.376,0.552,0.593,6.7,2.7,7.5,1,7.7,0.61,0.56,0.61,5.3,115,107.4
,Zion Williamson,Nor,F,19.58,7,27.1,56.5,29.3,13.3,46,0.587,88,0.557,9,0.444,0.567,0.584,19.6,8,15.5,2.1,13.5,0.57,0.29,2.57,10.2,110.7,108.6
,D.J. Wilson,Mil,F-C,23.96,26,9,18.8,16.5,12.8,7,0.714,34,0.618,45,0.244,0.475,0.487,3.1,2,10.9,0.7,9.8,0.04,0.15,0.46,7.2,96,96.7
,Justise Winslow,Mia,G-F,23.86,11,32,66.7,20.7,14.6,27,0.667,102,0.431,27,0.222,0.411,0.44,11.3,6.6,11.6,4,18.6,0.73,0.45,2.18,8.4,93.3,100.1
,Christian Wood,Det,F,24.36,49,18,37.4,21.7,12.2,169,0.74,229,0.642,85,0.376,0.621,0.663,10.5,5.3,16.7,0.7,6.2,0.47,0.86,1.1,7.5,122.4,105.3
,Delon Wright,Dal,G,27.78,49,21.1,43.9,15.1,12,71,0.789,204,0.51,87,0.379,0.527,0.563,7.4,3.9,9.7,3.2,21.3,1.12,0.33,0.9,8.6,123.1,106.3
,Thaddeus Young,Chi,F,31.63,51,23.4,48.8,19.8,13.5,58,0.586,285,0.502,168,0.339,0.504,0.513,9.6,4.6,10.7,1.8,11.8,1.16,0.29,1.47,7.3,99.5,103.6
,Trae Young,Atl,G,21.38,47,34.9,72.8,34.9,16.4,420,0.845,531,0.507,438,0.37,0.528,0.598,29.3,4.6,7,9,45.6,1.15,0.11,4.83,12.2,113,114.1
,Cody Zeller,Cha,C,27.34,48,23.1,48.2,20.9,11.7,140,0.686,340,0.574,67,0.254,0.542,0.573,11.2,7,16.6,1.5,11,0.67,0.44,1.29,8.5,114.3,103.1
,Ante Zizic,Cle,C,23.09,16,10,20.7,16.3,8.3,15,0.867,49,0.571,0,0,0.571,0.621,4.3,3.4,18.8,0.2,2.9,0.38,0.25,0.31,5.7,123.7,101.4
,Ivica Zubac,Lac,C,22.89,51,17.9,37.3,16.9,11.5,113,0.735,280,0.589,2,0,0.585,0.623,8.1,7.1,20.4,1,8,0.2,0.98,0.84,8.6,126.9,95.1
