RANK,Player,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,FG%,"TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPG,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Jaren Jackson Jr.,Mem,F-C,20.39,49,28.2,58.7,24.4,10.4,148,0.75,339,0.543,316,0.405,0.574,0.599,17.6,4.7,8.9,1.4,7.6,0.67,1.65,1.71,6.9,110.1,101.2
,Frank Jackson,Nor,G,21.76,40,13.2,27.4,20.4,13,50,0.76,113,0.478,93,0.301,0.466,0.504,5.8,1.3,5,0.8,8,0.35,0.08,0.85,5.5,96.1,107.7
,Josh Jackson,Mem,G-F,22.99,4,16.5,34.3,22.7,11.2,6,0.667,16,0.438,13,0.231,0.397,0.427,6.8,3.5,11.3,0.8,6.1,0.75,0.25,1,6.5,85.3,103.1
,Justin Jackson,Dal,F,24.86,46,16.4,34.1,16.1,3.5,32,0.844,133,0.481,127,0.307,0.471,0.496,5.9,2.4,7.7,0.7,5.9,0.2,0.13,0.22,5.2,107.9,108.3
,Reggie Jackson,Det,G,29.81,10,25.3,52.6,27.3,8.2,23,0.783,84,0.357,52,0.404,0.452,0.482,14.1,3.2,7.1,4.6,29.2,0.7,0.1,1.3,9.4,105.6,111.7
,Justin James,Sac,G-F,23.03,28,7.6,15.8,18.3,7.8,19,0.526,49,0.429,25,0.32,0.446,0.461,2.7,1.1,8,0.5,10.3,0.21,0.32,0.25,6,97.7,108.8
,LeBron James,Lal,F,35.1,47,34.8,72.6,31.4,15,260,0.692,630,0.557,287,0.352,0.548,0.574,25.2,7.7,12,10.7,49.8,1.32,0.47,3.87,14.7,116.3,103.5
,Amile Jefferson,Orl,F,26.75,18,4.1,8.6,13.5,13,14,0.357,14,0.357,0,0,0.357,0.372,0.8,1.3,16.4,0.2,7.4,0.06,0.17,0.17,5.8,93,101.2
,DaQuan Jeffries,Sac,G-F,22.44,3,4.1,8.6,10.5,0,0,0,2,0.5,1,0,0.333,0.333,0.7,0.3,4.5,0.3,10.9,0,0,0,3.9,101.1,94.2
,Ty Jerome,Pho,G-F,22.58,18,11.8,24.5,17.5,13.8,5,0.8,42,0.429,31,0.355,0.473,0.485,4.1,1.7,7.8,1.8,21.9,0.67,0.17,0.67,7.9,100.8,102.5
,Alize Johnson,Ind,F,23.79,11,4.2,8.7,17,5.7,6,0.667,14,0.5,0,0,0.5,0.541,1.6,1.5,19.4,0.2,6.1,0,0,0.09,7.5,121.3,97.4
,BJ Johnson,Orl,F,24.13,8,5.8,12,20.6,13.7,2,1,12,0.333,6,0.167,0.306,0.344,1.6,0.8,6.9,0.3,6.3,0.25,0,0.38,5,69,111.4
,Cameron Johnson,Pho,F,23.93,38,19.8,41.3,15.9,8.5,36,0.75,77,0.468,166,0.398,0.556,0.574,7.8,3.1,8.5,0.9,6.7,0.42,0.32,0.63,5.6,112.3,108.2
,James Johnson,Mia,F,32.96,18,15.6,32.5,17,13.9,14,0.571,42,0.548,45,0.356,0.54,0.547,5.7,2.9,10.3,1.2,11.1,0.33,0.72,0.83,6.9,103.1,98.8
,Keldon Johnson,San,F-G,20.32,4,3.1,6.4,17.6,0,0,0,5,0.4,0,0,0.4,0.4,1,0.8,13,0,0,0,0,0,0,,
,Stanley Johnson,Tor,F-G,23.69,17,5,10.3,19.2,21.2,4,0.75,16,0.375,12,0.167,0.321,0.353,1.2,1.1,11.2,0.4,9.5,0.18,0.12,0.47,6.5,69.6,97.9
,Tyler Johnson,Pho,G,27.75,31,16.6,34.6,17.2,11.5,32,0.75,88,0.466,83,0.289,0.45,0.481,5.7,1.7,5.5,1.6,13.4,0.39,0.26,0.77,6,97.7,107.7
,Nikola Jokic,Den,C,24.96,52,32.3,67.3,26.9,14.3,216,0.801,604,0.579,200,0.33,0.558,0.596,20.6,10.3,17.4,6.8,34.7,1.15,0.62,2.88,14,118.5,98.5
,Derrick Jones Jr.,Mia,F,22.97,36,24.7,51.4,14.5,7.9,78,0.795,143,0.629,92,0.283,0.549,0.594,8.9,4.3,9.8,1,5.9,1.06,0.69,0.64,5.5,119.5,101.5
,Damian Jones,Atl,C,24.6,47,16.8,35,11.9,11.5,84,0.738,156,0.712,7,0.286,0.699,0.725,6.2,3.8,12.3,0.6,5.5,0.45,0.77,0.55,5.8,138,100.7
,Tyus Jones,Mem,G,23.74,51,18.9,39.3,16.1,12.7,34,0.765,223,0.498,84,0.381,0.518,0.534,6.7,1.6,4.5,4.5,31.8,0.84,0.12,0.92,7.7,115.6,113.6
,DeAndre Jordan,Bro,C,31.54,42,20.9,43.6,14.1,19.6,85,0.694,201,0.677,0,0,0.677,0.694,7.9,9.6,23.6,2,14.1,0.38,0.95,1.38,10.2,126.8,96.2
,Cory Joseph,Sac,G,28.46,50,24.8,51.7,13.4,14.9,45,0.844,196,0.429,109,0.349,0.462,0.493,6.4,2.6,6,3.5,19.6,0.68,0.32,1.14,6.3,106.4,108.8
,Mfiondu Kabengele,Lac,F-C,22.48,10,4.4,9.2,22.7,4.1,3,1,10,0.4,12,0.5,0.591,0.622,2.9,0.8,9.3,0.1,3.5,0.1,0.1,0.1,5.6,121.7,96.4
,Frank Kaminsky,Pho,F-C,26.84,32,22.4,46.7,20.7,9.4,88,0.67,167,0.527,112,0.348,0.525,0.554,11,4.9,12.1,2.2,14.7,0.44,0.31,1.03,8.8,110.9,104.2
,Enes Kanter,Bos,C,27.71,38,18.7,38.9,19.8,12.2,69,0.667,253,0.609,5,0.2,0.603,0.619,9.4,8.2,23.7,1.1,9,0.45,0.87,1.05,9.4,124,96.1
,Luke Kennard,Det,G,23.62,28,32.9,68.6,19.6,10.3,75,0.893,159,0.491,183,0.399,0.548,0.589,15.8,3.5,6,4.1,18.8,0.43,0.21,1.54,7.4,117,110.1
