Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
114,Tony Snell,DET,11392857,12178571,,,,,Cap space,11392857
335,Torrey Craig,DEN,2100000,,,,,,Cap Space,2100000
180,Trae Young,ATL,6273000,6571800,8326471,,,,1st Round Pick,12844800
381,Treveon Graham,ATL,1678854,,,,,,Minimum Salary,1678854
106,Trevor Ariza,POR,12200000,12800000,,,,,,14000000
340,Trey Burke,PHI,2028594,,,,,,Minimum Salary,2028594
189,Trey Lyles,SAS,5500000,5500000,,,,,MLE,5500000
61,Tristan Thompson,CLE,18539130,,,,,,Bird Rights,18539130
260,Troy Brown,WAS,3219480,3372840,5170564,,,,1st Round Pick,6592320
344,Troy Daniels,LAL,2028594,,,,,,Minimum Salary,2028594
493,Troy Williams,HOU,122741,122741,122741,122741,,,,490964
328,Ty Jerome,PHO,2193480,2303040,2412840,4220057,,,1st Round Pick,4496520
495,Tyler Cook,CLE,101504,,,,,,Minimum Salary,151504
237,Tyler Herro,MIA,3640200,3822240,4004280,5722116,,,1st Round Pick,7462440
56,Tyler Johnson,PHO,19245370,,,,,,Cap Space,19245370
299,Tyson Chandler,HOU,2564753,,,,,,Minimum Salary,2564753
145,Tyus Jones,MEM,8408000,7965100,7522200,,,,MLE,23895300
295,Udonis Haslem,MIA,2564753,,,,,,Minimum Salary,2564753
50,Victor Oladipo,IND,21000000,21000000,,,,,1st Round Pick,42000000
305,Vince Carter,ATL,2564753,,,,,,Minimum Salary,2564753
307,Vincent Poirier,BOS,2505793,2619207,,,,,Minimum Salary,5125000
402,Vlatko Čančar,DEN,1517981,898310,1782621,,,,MLE,2416291
157,Wayne Ellington,NYK,7804878,8195122,,,,,,7804878
197,Wendell Carter,CHI,5201400,5448840,6920027,,,,1st Round Pick,10650240
458,Wenyen Gabriel,POR,898310,,,,,,Two-Way Contract,898310
390,Wesley Iwundu,ORL,1618520,,,,,,,1618520
293,Wesley Matthews,MIL,2564753,2692991,,,,,,2564753
97,Will Barton,DEN,12960000,13920000,14880000,,,,,26880000
329,Willie Cauley-Stein,DAL,2177483,2286357,,,,,MLE,2177483
382,Willy Hernangómez,CHO,1676735,,,,,,Cap Space,1676735
304,Wilson Chandler,BRK,2564753,,,,,,Minimum Salary,2564753
496,Yante Maten,MIA,100000,,,,,,,100000
263,Yogi Ferrell,SAC,3150000,,,,,,Cap Space,3150000
222,Zach Collins,POR,4240200,5406255,,,,,1st Round Pick,9646455
54,Zach LaVine,CHI,19500000,19500000,19500000,,,,,58500000
265,Zhaire Smith,PHI,3058800,3204600,4915856,,,,1st Round Pick,6263400
127,Zion Williamson,NOP,9757440,10245480,10733400,13534817,,,1st Round Pick,20002920
